Timestamp,Quat_W,Quat_X,Quat_Y,Quat_Z
1651139190506,0.022527,-0.087936,-0.995143,0.038051
1651139190517,0.00992,-0.093487,-0.995146,0.029079
1651139190532,0.008772,-0.092456,-0.995582,0.013806
1651139190536,-0.006252,-0.097365,-0.99522,0.00419
1651139190549,0.009597,0.095431,0.99531597,0.012112
1651139190566,0.024827,0.099522,0.99447,0.022503
1651139190568,0.028309,0.096565,0.994136,0.039567
1651139190584,0.042178,0.098976,0.992926,0.05022
1651139190586,0.045253,0.095317,0.992164,0.066912
1651139190603,0.057265,0.096847,0.990696,0.076568
1651139190617,0.05811,0.09244,0.989748,0.092067
1651139190619,0.068198,0.094038,0.988026,0.101531
1651139190634,0.067954,0.089156,0.986716,0.117574
1651139190636,0.07781,0.091107,0.984455,0.128421
1651139190651,0.079396,0.086462,0.982393,0.14534
1651139190667,0.089145,0.089211,0.97950697,0.157032
1651139190669,0.096004,0.087362,0.977209,0.167968
1651139190685,0.106091,0.090071,0.973855,0.179546
1651139190686,0.112685,0.087425,0.971287,0.190416
1651139190702,0.121494,0.08878,0.96782297,0.201678
1651139190716,0.12645599,0.085107,0.965335,0.211877
1651139190719,0.133844,0.085505,0.96198,0.222189
1651139190733,0.13823,0.081398,0.959513,0.231519
1651139190736,0.145569,0.081326,0.955932,0.241637
1651139190750,0.150271,0.077039,0.953014,0.25149
1651139190766,0.157134,0.076664,0.948988,0.262398
1651139190769,0.163076,0.070885,0.94548,0.272853
1651139190783,0.168765,0.067858,0.941396,0.28405198
1651139190786,0.175675,0.059279,0.937664,0.293955
1651139190799,0.17926499,0.051719,0.934384,0.303505
1651139190816,0.184618,0.041385,0.931169,0.311652
1651139190819,0.187743,0.032834,0.92823,0.319473
1651139190833,0.19223,0.024283,0.925152,0.326421
1651139190836,0.194797,0.019221,0.9224,0.33296
1651139190849,0.200312,0.014514,0.919321,0.338396
1651139190865,0.205201,0.013177,0.916253,0.343799
1651139190868,0.21289,0.011397,0.912804,0.348333
1651139190883,0.220118,0.012979,0.909176,0.353238
1651139190886,0.229063,0.01197,0.905522,0.356953
1651139190900,0.238483,0.013982,0.901377,0.361177
1651139190917,0.243334,0.007055,0.897514,0.367703
1651139190919,0.253677,0.006551,0.893049,0.371575
1651139190933,0.256813,-0.002297,0.88928,0.378445
1651139190936,0.265528,-0.005567,0.884413,0.383766
1651139190951,0.266414,-0.016292,0.880378,0.392034
1651139190966,0.270182,-0.020989,0.876033,0.398905
1651139190969,0.268926,-0.031789,0.872253,0.407235
1651139190983,0.269167,-0.037204,0.868704,0.414147
1651139190986,0.265998,-0.047108,0.865332,0.422166
1651139191001,0.263107,-0.051838,0.862519,0.42912298
1651139191017,0.259541,-0.060731,0.859325,0.436473
1651139191019,0.255869,-0.063848,0.856899,0.442919
1651139191033,0.253084,-0.071378,0.853894,0.44913
1651139191037,0.250493,-0.073067,0.85148,0.454856
1651139191050,0.24898499,-0.079314,0.848556,0.460073
1651139191066,0.247718,-0.07954,0.846127,0.465163
1651139191068,0.247205,-0.085245,0.843418,0.469326
1651139191083,0.247104,-0.084533,0.841174,0.473517
1651139191086,0.246742,-0.090186,0.838997,0.476515
1651139191101,0.248716,-0.0911,0.835537,0.481369
1651139191117,0.247492,-0.094552,0.834787,0.482634
1651139191119,0.249663,-0.094284,0.832124,0.486156
1651139191127,0.248806,-0.100214,0.830088,0.488882
1651139191136,0.251364,-0.100146,0.826845,0.493064
1651139191147,0.2507,-0.106146,0.824295,0.496406
1651139191160,0.253398,-0.105849,0.82058,0.501231
1651139191167,0.252896,-0.112155996,0.817573,0.505012
1651139191176,0.255788,-0.111616,0.813549,0.510148
1651139191187,0.255518,-0.118829,0.810284,0.513837
1651139191196,0.25814798,-0.119154,0.806109,0.518987
1651139191210,0.257068,-0.126645,0.803026,0.522517
1651139191216,0.25744,-0.126272,0.799557,0.527719
1651139191227,0.254718,-0.133505,0.797316,0.530643
1651139191236,0.253979,-0.133502,0.794559,0.535114
1651139191246,0.250472,-0.140317,0.792776,0.537661
1651139191260,0.2495,-0.13996,0.790144,0.542063
1651139191266,0.245906,-0.1458,0.788474,0.544591
1651139191278,0.244753,-0.143748,0.786087,0.549089
1651139191286,0.240988,-0.148504,0.78488,0.551211
1651139191296,0.239644,-0.145257,0.782943,0.555401
1651139191310,0.236239,-0.149534,0.781913,0.557172
1651139191316,0.235577,-0.145581,0.780087,0.561046
1651139191326,0.232704,-0.149609,0.779136,0.562504
1651139191336,0.232162,-0.145252,0.777658,0.565905
1651139191347,0.229044,-0.148979,0.777131,0.56693
1651139191359,0.228025,-0.144059,0.77642,0.569581
1651139191366,0.224324,-0.147087,0.776627,0.569993
1651139191378,0.222575,-0.141749,0.7767,0.571929
1651139191386,0.218598,-0.143533,0.777596,0.571801
1651139191397,0.216702,-0.137348,0.778443,0.572888
1651139191411,0.213376,-0.13734,0.779802,0.57229
1651139191416,0.21305,-0.130097,0.780795,0.57275
1651139191429,0.211164,-0.12945,0.782022,0.57192
1651139191436,0.214061,-0.123098,0.78232,0.571838
1651139191448,0.21427,-0.123446,0.782577,0.571333
1651139191461,0.219544,-0.118731,0.781837,0.571342
1651139191466,0.220504,-0.119837,0.781311,0.571462
1651139191478,0.225715,-0.116255,0.780062,0.571873
1651139191486,0.226213,-0.118121,0.77921,0.572455
1651139191497,0.229762,-0.115532,0.778189,0.572959
1651139191510,0.228682,-0.117093,0.77778697,0.57362
1651139191517,0.229776,-0.11451,0.777588,0.573974
1651139191527,0.227541,-0.115431,0.777836,0.574344
1651139191536,0.227768,-0.113674,0.778229,0.574071
1651139191547,0.225306,-0.114565,0.778751,0.574158
1651139191561,0.225956,-0.113773,0.779316,0.573292
1651139191566,0.224538,-0.114554,0.779668,0.573216
1651139191577,0.226807,-0.114458,0.77995,0.571957
1651139191586,0.226846,-0.114756,0.780097,0.571681
1651139191596,0.230627,-0.114765,0.780049,0.570231
1651139191609,0.231252,-0.114917,0.780105,0.56987
1651139191616,0.235939,-0.114868,0.77972597,0.568475
1651139191626,0.23613,-0.115509,0.779801,0.568162
1651139191637,0.24086,-0.115809,0.779224,0.566906
1651139191646,0.2403,-0.117328,0.779446,0.566526
1651139191659,0.244496,-0.118279,0.778706,0.565551
1651139191666,0.243271,-0.120604,0.778792,0.565469
1651139191676,0.246604,-0.121878,0.777821,0.565089
1651139191686,0.245064,-0.124492,0.777792,0.565228
1651139191696,0.247917,-0.125257,0.776492,0.565603
1651139191709,0.246531,-0.128844,0.776187,0.565821
1651139191716,0.249482,-0.129744,0.774546,0.566571
1651139191727,0.248136,-0.13411,0.773952,0.566956
1651139191736,0.250359,-0.134298,0.772288,0.568203
1651139191746,0.248939,-0.1383,0.771688,0.568681
1651139191759,0.25065,-0.136391,0.770194,0.570413
1651139191766,0.249636,-0.139981,0.769876,0.570417
1651139191776,0.252196,-0.137224,0.768352,0.572014
1651139191786,0.251218,-0.141357,0.768002,0.571907
1651139191796,0.254168,-0.138518,0.766422,0.573416
1651139191809,0.252895,-0.142566,0.76610297,0.573413
1651139191816,0.255494,-0.139009,0.764494,0.57528
1651139191827,0.254061,-0.143037,0.764248,0.575254
1651139191836,0.256637,-0.139382,0.762528,0.577287
1651139191846,0.255057,-0.143426,0.762307,0.577289
1651139191858,0.257226,-0.139943,0.76053,0.579519
1651139191866,0.25532,-0.143792,0.760077,0.580015
1651139191877,0.256609,-0.139357,0.758457,0.582643
1651139191886,0.254571,-0.142344,0.758049,0.583345
1651139191896,0.25563,-0.136915,0.756672,0.585964
1651139191909,0.253538,-0.13929,0.756276,0.586824
1651139191916,0.254797,-0.133236,0.754924,0.589419
1651139191927,0.253099,-0.135036,0.754144,0.590738
1651139191936,0.255203,-0.128166,0.752506,0.593446
1651139191946,0.254349,-0.129366,0.751362,0.59499997
1651139191958,0.257157,-0.121718,0.749485,0.597767
1651139191966,0.256649,-0.122675,0.74811,0.59951
1651139191976,0.259746,-0.114897,0.746021,0.602313
1651139191986,0.259207,-0.115498,0.744545,0.604254
1651139191997,0.262411,-0.108263,0.742163,0.607134
1651139192008,0.261651,-0.10866,0.740329,0.609625
1651139192016,0.264507,-0.101692,0.737356,0.61318797
1651139192026,0.263617,-0.101789996,0.73473,0.616696
1651139192036,0.266144,-0.094082996,0.731002,0.621249
1651139192046,0.26649,-0.094169,0.727366,0.625341
1651139192058,0.269938,-0.086493,0.722779,0.630271
1651139192067,0.273056,-0.087657,0.717902,0.634328
1651139192076,0.279172,-0.080405,0.712289,0.638937
1651139192086,0.285243,-0.082431,0.706569,0.64234
1651139192101,0.298503,-0.076384,0.697536,0.646918
1651139192108,0.301172,-0.080060996,0.693596,0.649467
1651139192117,0.309531,-0.075872,0.686904,0.653143
1651139192127,0.313739,-0.078538,0.681212,0.656771
1651139192136,0.317774,-0.074051,0.676357,0.66036
1651139192146,0.318533,-0.074858,0.672339,0.663997
1651139192158,0.31935298,-0.069499,0.669104,0.667445
1651139192166,0.31852,-0.068141,0.666084,0.670993
1651139192176,0.317627,-0.061086,0.663376,0.674769
1651139192186,0.31641,-0.058318,0.660269,0.678622
1651139192197,0.315047,-0.049732,0.65735,0.68276
1651139192209,0.315634,-0.048061,0.653965,0.685852
1651139192216,0.317203,-0.042974,0.650655,0.688609
1651139192226,0.320545,-0.044259,0.645737,0.691602
1651139192237,0.325256,-0.044951,0.640929,0.693827
1651139192246,0.326466,-0.046990998,0.634327,0.69917
1651139192258,0.326263,-0.0482,0.629686,0.703365
1651139192267,0.322173,-0.048524,0.624369,0.709938
1651139192276,0.315326,-0.04828,0.622758,0.714429
1651139192286,0.307062,-0.046228,0.619702,0.720793
1651139192296,0.295604,-0.043644,0.620666,0.724904
1651139192309,0.2893,-0.038557,0.619033,0.72912
1651139192316,0.281777,-0.035237,0.620506,0.730979
1651139192326,0.281438,-0.03049,0.619163,0.73246
1651139192336,0.280437,-0.029695,0.62110597,0.731231
1651139192346,0.282949,-0.025055,0.620111,0.731282
1651139192358,0.285619,-0.025218,0.621669,0.728911
1651139192367,0.286206,-0.020174,0.621469,0.729009
1651139192377,0.285585,-0.020065,0.624561,0.726609
1651139192387,0.280857,-0.0138799995,0.626643,0.726803
1651139192396,0.274565,-0.011948,0.631869,0.724715
1651139192409,0.268184,-0.005636,0.63576597,0.723772
1651139192416,0.262962,-0.0042499998,0.641857,0.720313
1651139192427,0.258852,0.002191,0.645883,0.71820897
1651139192436,0.256525,0.0047689998,0.651265,0.71416
1651139192446,0.254399,0.012468,0.655324,0.71110797
1651139192458,0.25488698,0.018575,0.660082,0.706383
1651139192466,0.252715,0.027861,0.665438,0.701819
